32,255,0,1,2,254,85,205,12,167,104,189,30,60,86,22
106,57,42,171,220,20,132,49,58,8,31,163,59,99,126,54
113,15,235,225,223,79,172,80,213,214,81,111,119,24,173,164
208,103,175,97,207,50,165,127,100,131,210,185,118,110,102,174
40,43,120,19,190,206,135,27,166,188,101,125,107,91,16,18
51,53,114,209,192,130,47,96,109,92,5,129,115,198,17,211
34,117,140,201,116,25,128,196,52,203,186,26,228,239,240,229
226,197,193,108,141,35,95,94,39,11,177,21,227,250,241,248
238,243,176,93,69,28,195,182,194,121,136,187,44,202,154,123
124,38,122,139,90,222,13,216,200,10,137,155,36,147,70,37
76,148,23,168,46,142,138,45,62,161,199,181,218,246,237,224
6,231,242,236,233,153,68,9,77,180,179,63,89,75,33,83
178,146,143,212,204,156,169,71,149,55,162,184,133,84,88,74
61,29,66,67,183,191,56,64,82,215,221,219,87,73,160,150
72,144,105,244,232,245,247,14,151,65,41,145,157,152,158,7
159,112,98,48,78,170,134,217,230,249,251,3,253,4,252,234
